date,state,death
2/25/2021,CO,5925
2/25/2021,CT,7614
2/25/2021,DC,1005
2/25/2021,DE,1406
2/25/2021,FL,31018
2/25/2021,GA,17199
2/25/2021,GU,130
2/25/2021,HI,435
2/25/2021,IA,5438
2/25/2021,ID,1840
2/25/2021,IL,22607
2/25/2021,IN,12494
2/25/2021,KS,4724
2/25/2021,KY,4570
2/25/2021,LA,9561
2/25/2021,MA,15978
2/25/2021,MD,7805
2/25/2021,ME,701
2/25/2021,MI,16436
2/25/2021,MN,6450
2/25/2021,MO,7902
2/25/2021,MP,2
2/25/2021,MS,6613
2/25/2021,MT,1350
2/25/2021,NC,11137
2/25/2021,ND,1471
2/25/2021,NE,2063
2/25/2021,NH,1163
2/25/2021,NJ,23147
2/25/2021,NM,3671
2/25/2021,NV,4933
2/25/2021,NY,38227
2/25/2021,OH,17125
2/25/2021,OK,4302
2/25/2021,OR,2194
2/25/2021,PA,23868
2/25/2021,PR,2016
2/25/2021,RI,2496
2/25/2021,SC,8443
2/25/2021,SD,1872
2/25/2021,TN,11321
2/25/2021,TX,42285
2/25/2021,UT,1890
2/25/2021,VA,7963
2/25/2021,VI,25
2/25/2021,VT,203
2/25/2021,WA,4912
2/25/2021,WI,6994
2/25/2021,WV,2290
2/25/2021,WY,671
2/24/2021,AK,290
2/24/2021,AL,9744
2/24/2021,AR,5387
2/24/2021,AS,0
2/24/2021,AZ,15693
2/24/2021,CA,49877
2/24/2021,CO,5917
2/24/2021,CT,7595
2/24/2021,DC,1001
2/24/2021,DE,1402
2/24/2021,FL,30878
2/24/2021,GA,17064
2/24/2021,GU,130
2/24/2021,HI,435
2/24/2021,IA,5415
2/24/2021,ID,1840
2/24/2021,IL,22575
2/24/2021,IN,12467
2/24/2021,KS,4724
2/24/2021,KY,4527
2/24/2021,LA,9528
2/24/2021,MA,15945
2/24/2021,MD,7789
2/24/2021,ME,677
2/24/2021,MI,16389
2/24/2021,MN,6443
2/24/2021,MO,7894
2/24/2021,MP,2
2/24/2021,MS,6605
2/24/2021,MT,1348
2/24/2021,NC,11074
2/24/2021,ND,1470
2/24/2021,NE,2054
2/24/2021,NH,1157
2/24/2021,NJ,23077
2/24/2021,NM,3658
2/24/2021,NV,4919
2/24/2021,NY,38135
2/24/2021,OH,17045
2/24/2021,OK,4264
2/24/2021,OR,2162
2/24/2021,PA,23787
2/24/2021,PR,2007
2/24/2021,RI,2487
2/24/2021,SC,8398
2/24/2021,SD,1864
2/24/2021,TN,11266
2/24/2021,TX,41980
2/24/2021,UT,1879
2/24/2021,VA,7807
2/24/2021,VI,25
2/24/2021,VT,201
2/24/2021,WA,4881
2/24/2021,WI,6936
2/24/2021,WV,2285
2/24/2021,WY,671
2/23/2021,AK,290
2/23/2021,AL,9660
2/23/2021,AR,5377
2/23/2021,AS,0
2/23/2021,AZ,15650
2/23/2021,CA,49563
2/23/2021,CO,5907
2/23/2021,CT,7572
2/23/2021,DC,998
2/23/2021,DE,1379
2/23/2021,FL,30749
2/23/2021,GA,16927
2/23/2021,GU,130
2/23/2021,HI,431
2/23/2021,IA,5400
2/23/2021,ID,1826
2/23/2021,IL,22528
2/23/2021,IN,12450
2/23/2021,KS,4643
2/23/2021,KY,4476
2/23/2021,LA,9503
2/23/2021,MA,15883
2/23/2021,MD,7762
2/23/2021,ME,660
2/23/2021,MI,16380
2/23/2021,MN,6434
2/23/2021,MO,7885
2/23/2021,MP,2
2/23/2021,MS,6577
2/23/2021,MT,1346
2/23/2021,NC,10965
2/23/2021,ND,1468
2/23/2021,NE,2050
2/23/2021,NH,1155
2/23/2021,NJ,22978
2/23/2021,NM,3644
2/23/2021,NV,4903
2/23/2021,NY,38031
2/23/2021,OH,16968
2/23/2021,OK,4227
2/23/2021,OR,2155
2/23/2021,PA,23711
2/23/2021,PR,1986
2/23/2021,RI,2476
2/23/2021,SC,8357
2/23/2021,SD,1863
2/23/2021,TN,11198
2/23/2021,TX,41641
2/23/2021,UT,1865
2/23/2021,VA,7658
2/23/2021,VI,25
2/23/2021,VT,199
2/23/2021,WA,4857
2/23/2021,WI,6910
2/23/2021,WV,2274
2/23/2021,WY,671
2/22/2021,AK,290
2/22/2021,AL,9592
2/22/2021,AR,5363
2/22/2021,AS,0
2/22/2021,AZ,15502
2/22/2021,CA,49338
2/22/2021,CO,5893
2/22/2021,CT,7562
2/22/2021,DC,995
2/22/2021,DE,1368
2/22/2021,FL,30595
2/22/2021,GA,16835
2/22/2021,GU,130
2/22/2021,HI,431
2/22/2021,IA,5374
2/22/2021,ID,1826
2/22/2021,IL,22506
2/22/2021,IN,12407
2/22/2021,KS,4643
2/22/2021,KY,4460
2/22/2021,LA,9477
2/22/2021,MA,15853
2/22/2021,MD,7732
2/22/2021,ME,658
2/22/2021,MI,16343
2/22/2021,MN,6433
2/22/2021,MO,7715
2/22/2021,MP,2
2/22/2021,MS,6553
2/22/2021,MT,1341
2/22/2021,NC,10934
2/22/2021,ND,1468
2/22/2021,NE,2047
2/22/2021,NH,1154
2/22/2021,NJ,22874
2/22/2021,NM,3635
2/22/2021,NV,4882
2/22/2021,NY,37941
2/22/2021,OH,16874
2/22/2021,OK,4203
2/22/2021,OR,2155
2/22/2021,PA,23614
2/22/2021,PR,1983
2/22/2021,RI,2466
2/22/2021,SC,8332
2/22/2021,SD,1863
2/22/2021,TN,11153
2/22/2021,TX,41407
2/22/2021,UT,1853
2/22/2021,VA,7486
2/22/2021,VI,25
2/22/2021,VT,198
2/22/2021,WA,4822
2/22/2021,WI,6871
2/22/2021,WV,2263
2/22/2021,WY,662
2/21/2021,AK,289
2/21/2021,AL,9592
2/21/2021,AR,5357
2/21/2021,AS,0
2/21/2021,AZ,15505
2/21/2021,CA,49105
2/21/2021,CO,5892
2/21/2021,CT,7523
2/21/2021,DC,995
2/21/2021,DE,1367
2/21/2021,FL,30434
2/21/2021,GA,16744
2/21/2021,GU,130
2/21/2021,HI,431
2/21/2021,IA,5336
2/21/2021,ID,1826
2/21/2021,IL,22466
2/21/2021,IN,12372
2/21/2021,KS,4614
2/21/2021,KY,4447
2/21/2021,LA,9466
2/21/2021,MA,15826
2/21/2021,MD,7715
2/21/2021,ME,658
2/21/2021,MI,16342
